# Citadel Colour — ใส่ hex หลังเครื่องหมาย |
# Format: ชื่อสี | #HEX (Set)
# เฉพาะ Set ที่ยังขาย: Base, Layer, Shade, Contrast, Technical, Dry, Glaze
# deduplicate แล้ว — ถ้าสีซ้ำชื่อจะเลือก Base > Layer > อื่นๆ

# ── Base ──────────────────────────────────────
Abaddon Black | #000000 (Base)
Ryza Rust | #F16C23 (Dry)
Sigmarite | #D6AC57 (Dry)
Skink Blue | #54BDCA (Dry)
Stormfang | #5A7FA3 (Dry)
Sylvaneth Bark | #4E483B (Dry)
Terminatus Stone | #C8B79D (Dry)
Tyrant Skull | #C8C483 (Dry)
Underhive Ash | #BCBB7E (Dry)
Verminlord Hide | #7E3331 (Dry)
Wrack White | #D3D0CF (Dry)

# ── Glaze ──────────────────────────────────────
Bloodletter | #F37355 (Glaze)
Guilliman Blue | #2F9AD6 (Glaze)
Lamenters Yellow | #FFF56B (Glaze)
Waywatcher Green | #6DC066 (Glaze)
